#  plateifu       wavelength   width
7965-1902         3935         5
7965-1902         5782         5
7965-1902         6056         5
8146-1901         4049         5
8146-1901         5463         5
8146-1901         6869         5
8322-1901         4048         5
8322-1901         5462         5
8322-1901         7530         5
8555-3701         5611         10
8440-6104         5462         4.5
8651-1902         3981         5
8651-1902         5461         5
8651-1902         6873         12
8651-1902         7718         10
10843-1901        3936         5
10843-1901        5463         5
10843-1901        5690         5
10843-1901        5923         13
10843-1901        6783         33
10843-1901        6945         15
8322-1901         6035         5
8555-3701         6166         12
8555-3701         7047         5
8651-1902         5280         5
10844-1902        4230         6
10844-1902        6174         5
10844-1902        6437         9
10844-1902        6470         10
10844-1902        6583         10
11827-1902        6038         15
12514-3702        6160         9
12514-3702        6930         12
12514-3702        7192         9
12514-3702        7355         5
8933-3704         5460         5
10507-1901        4832         5
10507-1901        5958         8
8979-1902         5090         5
8979-1902         4750         5
8979-1902         4895         5
8979-1902         6006         3
8979-1902         6670         12
8979-1902         6707         9
8979-1902         6758         7
8979-1902         7114         8
9188-12705        4147         5
8458-6102         5461         5
8458-6102         7411         5
8323-6103         6034         5
8997-3703         3821         3
8996-3704         3894         4
8996-3704         3940         2
8996-3704         4017         3
8996-3704         6338         7
8996-3704         6460         5
7961-1901         3935         3
11955-6103        6232         4
11955-6103        6323         3
11955-6103        6494         11
11955-6103        6584         6
11955-6103        6757.5       3.5
11955-6103        7137.5       3.5
11955-6103        7172         5
11955-6103        7224.5       7.5
10220-3703        3859         3
10220-3703        6325         5
10220-3703        7699         10
9091-1901         7245         6
9091-1901         7526         5
8655-1902         4550         4
8655-1902         5087         4
9495-3702         3935         3
9495-3702         4790.5       2.5
9495-3702         5851         5
9495-3702         6415         13
9495-3702         6475         8
9495-3702         6686         6
9495-3702         7085         8
9495-3702         7615         5
8080-3702         4863         3
8080-3702         6564         4
10838-1902        7526         8
11009-3703        6560         3
11009-3703        7245         6
10515-6104        3912         2
10515-6104        5463         3
10515-6104        6138         5
10515-6104        7244         5
8082-3704         4048         4
8082-3704         4863         5
9494-3701         3934         2
9494-3701         4711         3
9494-3701         5617         6
10215-1902        6075.0       6.0
10215-1902        6540.0       9.0
10215-1902        7127.0       12.0
10215-1902        7375.0       9.0
8941-3701         5615.0       5.0
8941-3701         5916.0       3.0
8941-3701         6671.0       2.0
7964-1902         5464.0       2.0
9511-6102         4982.5       5.5
9511-6102         6257.0       4.0
12485-3702        5462.5       2.5
12485-3702        7022.0       11.0
8725-1902         5462.5       3.5
8725-1902         7086.0       14.0
10518-3701        7046         3
11747-3701        4701         5
11747-3701        5230         6
11747-3701        5606         6
11747-3701        6038         3
12071-1901        4048         4
12071-1901        5461         3
12071-1901        7408         2
7990-12705        6073         3
8083-12703        4963         3
8083-12703        5463         2
8152-3703         6866         4
8253-12703        6040         6
8253-12703        6981         2
8440-1901         4048         4
8440-1901         5461         6
8453-3704         4047         3
8453-3704         5461.5       2.5
8453-3704         6834         7
8554-3701         6238         2
8554-3701         6259         3
8554-3701         7630         3
8610-3701         7046         3
8997-3704         4049         4
8997-3704         5463         5
9188-12705        4047         3
9188-12705        4863         4
9188-12705        6585.5       4.5
9188-12705        6718.5       4.5
9188-12705        6733         5
9188-12705        6981.5       2.5
11745-12702       4792.5       8.5
11745-12702       6330.0       3.0
8080-3704         4048.0       2.0
8080-3704         4864.5       4.5
8080-3704         5463.0       3.0
9505-6102         7633.5       5.5
9867-9102         5463.0       3.0
9867-9102         7631.0       5.0
9891-6102         6140.0       5.0
9891-6102         7630.0       4.0
