# wavelength  width   flux
5.577346700000000055e+03 1.267999999999999960e-01 1.544808999999999912e+02
5.889958999999999833e+03 1.517999999999999905e-01 1.128669999999999973e+01
5.895932099999999991e+03 1.499000000000000055e-01 6.761099999999999888e+00
6.300308600000000297e+03 1.625000000000000056e-01 1.259882000000000062e+02
6.363782699999999750e+03 1.640999999999999959e-01 4.108990000000000009e+01
7.276424299999999675e+03 1.708000000000000074e-01 1.680239999999999867e+01
7.316289600000000064e+03 1.897000000000000075e-01 1.313920000000000066e+01
7.340900899999999638e+03 2.577999999999999736e-01 1.156119999999999948e+01
7.716922400000000380e+03 1.827000000000000013e-01 1.006799999999999962e+01
7.750656200000000354e+03 1.769000000000000017e-01 2.098669999999999902e+01
7.794120600000000195e+03 2.056000000000000050e-01 1.582240000000000002e+01
7.821519000000000233e+03 2.868999999999999884e-01 1.436359999999999992e+01
7.853523900000000140e+03 2.197000000000000064e-01 1.079899999999999949e+01
7.913717800000000352e+03 1.947000000000000119e-01 2.447860000000000014e+01
7.964654300000000148e+03 2.101000000000000090e-01 1.854789999999999850e+01
7.993333999999999833e+03 3.292999999999999816e-01 1.241830000000000034e+01
8.288608399999999165e+03 2.013999999999999957e-01 1.372310000000000052e+01
8.298906199999999444e+03 1.942000000000000115e-01 1.681480000000000175e+01
8.344613300000000891e+03 2.044999999999999873e-01 4.134989999999999810e+01
8.399175800000000891e+03 2.215999999999999914e-01 3.164440000000000097e+01
8.399175800000000891e+03 2.220000000000000029e-01 3.132239999999999824e+01
8.415242200000000594e+03 1.930999999999999939e-01 1.318180000000000085e+01
8.430117200000000594e+03 2.447000000000000008e-01 2.217559999999999931e+01
8.430176799999999275e+03 3.603999999999999981e-01 2.227929999999999922e+01
8.452265600000000632e+03 2.038999999999999979e-01 1.093849999999999945e+01
8.465233399999999165e+03 2.190000000000000002e-01 1.348719999999999963e+01
8.465514600000000428e+03 2.111000000000000099e-01 1.331930000000000014e+01
8.761336900000000242e+03 2.300000000000000100e-01 1.358949999999999925e+01
